Wallet Address,Token Balance,Mint Numbers
0x6502e95f545e65224135b26dd1f1915018f2f948,2,6;7
0x84d59aa1e5bf4aba045f03cb94346f1aa0d81e5c,2,18;19
0x00f33fd847d48ac64f6f8f3ff577264da59fe882,1,15
0x09768a8f68c9c4cd89489632e13e8c0147d164bb,1,13
0x10f418d9daebad69767f2ab67d613503376d2b61,1,5
0x1c7bc3f48d74441bcdc7defe66915b22b4a77dcc,1,10
0x1cab13d773cf6ba49c699cbdbfada7ebe5d5d224,1,1
0x46dc1dd8d015cc773ecffc998860dfb4bfb690a9,1,8
0x53a8d5ad3d58b1a3aa626ea7def1e91c0b1bc8e1,1,9
0x6f621b4a2a84371262cd0e056e78049aa678e594,1,3
0x7088d61bfd253b057a6c6dbfd5182913ab2266ea,1,2
0x7f32d3001a5e5ae90ffbe36fe2fc447727c6b272,1,12
0x95b48346c103269fa0246896ec96a3735f65c3a0,1,4
0xa9ca3263e29f68ca87a6143f6aa940d8d6ca076d,1,16
0xac73aca1205aff5dfc5e31223c33a970854057ae,1,17
0xd0e968a72c5510ea12d69d5b632084f2c446a7cf,1,14
0xe6d0f5d3f57a1715601ff29dfdb5efcb30fe75f7,1,11
